id,user,location,geo_enabled,geo,coordinates,text,created_at
1467697040469680000,1043911579211886600,"Pembroke Pines, FL",True,"{'type': 'Point', 'coordinates': [26.18437, -80.10892]}","{'type': 'Point', 'coordinates': [-80.10892, 26.18437]}",Up and Ready for FL State Finals 2021  @cardinalgibbonsfootball   @cghsfl   @adidas   @adidasfootball   #nikon   #nikonphotography   #nikond6   #nikkor @ Cardinal Gibbons High School FTL https://t.co/aPjVOwYXt6,Mon Dec 06 03:26:57 +0000 2021
1468127315515302000,14460890,"San Francisco, CA",True,"{'type': 'Point', 'coordinates': [37.7793, -122.419]}","{'type': 'Point', 'coordinates': [-122.419, 37.7793]}","Second round. Which color blocking is your favorite?
A is the winner from the first round..
Please support me to find a great color blocking.

#sneakerhead #nikeid #nikebyyou @nike #af1 #airforce1 https://t.co/hnimbtjy5E",Tue Dec 07 07:56:43 +0000 2021
1468097616516952000,2910128730,"Los Angeles, CA",True,"{'type': 'Point', 'coordinates': [33.61695, -117.93033]}","{'type': 'Point', 'coordinates': [-117.93033, 33.61695]}","@nike Dunks x @unionlosangeles 

“ Panda “ Lot 12/50 “ Michigan State “ 

New Exclusive Visuals! 
PreOrder via #heemhotline☎️👟👟 @ Newport Beach, California https://t.co/GX3HoSFAwl",Tue Dec 07 05:58:42 +0000 2021
1468342916032700400,62439419,"Chicago, IL",True,"{'type': 'Point', 'coordinates': [41.883222, -87.632496]}","{'type': 'Point', 'coordinates': [-87.632496, 41.883222]}","OOTD from 11/26.  I was super stoked to fit into my size 12 jeans! Who am I?! 🤭 Top from @curtsy, jeans from @jessicasimpsonstyle, Harley Quinn belt and necklace from @hottopic and shoes from @nike @ Chicago, Illinois https://t.co/91cL0hVWZy",Tue Dec 07 22:13:26 +0000 2021
1468411768573726700,1043911579211886600,"Pembroke Pines, FL",True,"{'type': 'Point', 'coordinates': [25.71738159, -80.27867675]}","{'type': 'Point', 'coordinates': [-80.27867675, 25.71738159]}",Canes Football Coach Mario Cristobal Press Conference  @miami_huricane_   @footballhotbed   #nikon   #nikonphotography   #nikonz7ii   #nikkor   @adidas   @adidasfootball @ University of Miami https://t.co/E7EG41DNQC,Wed Dec 08 02:47:02 +0000 2021
1468413280179957800,1043911579211886600,"Pembroke Pines, FL",True,"{'type': 'Point', 'coordinates': [25.71738159, -80.27867675]}","{'type': 'Point', 'coordinates': [-80.27867675, 25.71738159]}",Canes Football - Coach Mario Cristobal Press Conference  @miami_huricane_   @footballhotbed   @adidas   @adidasfootball  #nikon   #nikknphotography  #nikonz7ii   #nikkor @ University of Miami https://t.co/9iBWSKd1Xt,Wed Dec 08 02:53:02 +0000 2021
1468478828230189000,14460890,"San Francisco, CA",True,"{'type': 'Point', 'coordinates': [37.7793, -122.419]}","{'type': 'Point', 'coordinates': [-122.419, 37.7793]}","The final round of this first Air Force 1 Design Challenge
Choose your favorite, please.

#sneakerhead #nikebyyou #nikeid #af1 #airforce1 #nike @nike @ San Francisco, California https://t.co/Wc2fZlYGNr",Wed Dec 08 07:13:30 +0000 2021
1468598887451488300,39969360,"ATL, GA",True,"{'type': 'Point', 'coordinates': [33.84825751, -84.36288802]}","{'type': 'Point', 'coordinates': [-84.36288802, 33.84825751]}","🎯”Earned Not Given”
- Nike 
📸: @bryankeithphoto 
@niketraining @nikesportswear @nikewomen @nike 

#nike #justdoit #atl #fitness #healthiswealth #nikewomen #teamnike #womenempowerment #teamlex @ Nike ATL https://t.co/s4qKRTfM9S",Wed Dec 08 15:10:34 +0000 2021
1468608837791985700,1267337851139526700,"Las Vegas, NV",True,"{'type': 'Point', 'coordinates': [36.11925544, -115.17101475]}","{'type': 'Point', 'coordinates': [-115.17101475, 36.11925544]}",Gotta get the kicks @nike @ Harrahs Hotel Casino https://t.co/DijwfCxdHz,Wed Dec 08 15:50:07 +0000 2021
1468778908900380700,2194452169,Lost on the #solana Blockchain,True,"{'type': 'Point', 'coordinates': [44.96712762, -93.28215703]}","{'type': 'Point', 'coordinates': [-93.28215703, 44.96712762]}",Impressed with the latest set of mids and low's from @nike #nikemids #nikelow's 👌 @ TwinCity Shoe Stop https://t.co/7FGKaUJf7X,Thu Dec 09 03:05:55 +0000 2021
1468949608734675000,703819517785301000,"St Paul, MN",True,"{'type': 'Point', 'coordinates': [44.92004, -92.94403]}","{'type': 'Point', 'coordinates': [-92.94403, 44.92004]}","@adidas I’ve been on an expensive activewear kick, and when push comes to shove, #adidas is way more on the fashion tip than Nike. More #innovative; more #fashionforward… @ Woodbury, Minnesota https://t.co/fzNbSePZSS",Thu Dec 09 14:24:13 +0000 2021
1468976598225358800,1521174284,New York,True,"{'type': 'Point', 'coordinates': [40.74792494, -73.98966245]}","{'type': 'Point', 'coordinates': [-73.98966245, 40.74792494]}","Had so much fun working with @taraanicolas  and @nike for @niketraining. This woman is a force with hella good vibes! Thanks for trusting me with your glam! 

Hair and makeup: Me 🙋🏾‍♀️ @inherbeautyny @ Nike NYHQ https://t.co/pYzWjZTWIF",Thu Dec 09 16:11:27 +0000 2021
1469079593919209500,1213572153775231000,"Austin, TX",True,"{'type': 'Point', 'coordinates': [30.2677, -97.7475]}","{'type': 'Point', 'coordinates': [-97.7475, 30.2677]}","Positive Thoughts 💕. 
Swipe left for a surprise 😅.

_________________________________

@adidasrunning 
@adidas @ Austin, Texas https://t.co/Y5ZOJymmAA",Thu Dec 09 23:00:44 +0000 2021
1469707033503051800,707236623000457200,"Michigan, USA",True,"{'type': 'Point', 'coordinates': [42.3368, -83.0507]}","{'type': 'Point', 'coordinates': [-83.0507, 42.3368]}","“ @nike By You”
Did you know that you can customize your own Nikes on the app? It’s fun, and as a sneaker head it’s also dangerous. 😃💰💰
#productphotography @thebeatles #nikebyyou #sneakerhead #nike @ Detroit, Michigan https://t.co/O0nqGm6XLJ",Sat Dec 11 16:33:57 +0000 2021
1469755950609444900,80768766,"Las Vegas, NV",True,"{'type': 'Point', 'coordinates': [36.0560665, -115.1694278]}","{'type': 'Point', 'coordinates': [-115.1694278, 36.0560665]}","I'm at @Nike Factory Store in Las Vegas, NV https://t.co/GbC2vtG54k",Sat Dec 11 19:48:20 +0000 2021
1469754537376243700,24984458,Torrance/LosAngeles/SouthBay,True,"{'type': 'Point', 'coordinates': [34.0564, -118.2445]}","{'type': 'Point', 'coordinates': [-118.2445, 34.0564]}","Dummies Fighting at the Nike store today for the #Jordan11coolgrey  @nike @jumpman23 #Losangeles @ Los Angeles, California https://t.co/1S4drgL6Q4",Sat Dec 11 19:42:43 +0000 2021
